timestamp,frame_ms,perception_ms,state_ms,behavior_ms,object_detection_ms,export_ms,total_loop_ms
2026-05-13T18:30:47.807692+00:00,535.813700,32.900500,0.025200,0.014000,450.471900,5.283500,1028.685700
2026-05-13T18:30:48.627919+00:00,16.359600,15.062200,0.009700,0.006500,227.058300,5.443300,266.267000
2026-05-13T18:30:49.592097+00:00,15.769100,10.777100,0.008800,0.008100,188.417100,4.711900,221.825600
2026-05-13T18:30:51.093908+00:00,16.064900,15.621000,0.006800,0.006100,645.597900,4.734300,684.826600
2026-05-13T18:30:52.024495+00:00,14.353100,32.355600,0.014400,0.027600,533.426700,9.113200,592.053500
2026-05-13T18:30:52.811304+00:00,15.621500,24.118200,0.010300,0.008400,319.183200,5.968900,369.836200
2026-05-13T18:30:54.105103+00:00,5.354100,24.790300,0.010000,0.008800,598.122900,6.048700,638.602800
2026-05-13T18:30:54.825372+00:00,7.386200,22.658100,0.010100,0.007200,309.739700,6.752300,349.870200
2026-05-13T18:30:55.813586+00:00,1.908900,21.349800,0.010800,0.008500,295.755500,6.001500,329.095200
2026-05-13T18:30:56.835835+00:00,2.664000,19.016600,0.007300,0.005500,295.647200,4.422800,324.669000
2026-05-13T18:30:57.844463+00:00,1.706800,18.113200,0.007500,0.005700,272.543600,5.073600,302.207000
2026-05-13T18:30:58.962875+00:00,2.715400,19.067600,0.007400,0.006100,382.834400,4.935100,412.445800
2026-05-13T18:30:59.779141+00:00,2.549400,16.383100,0.008000,0.006000,192.575400,4.526400,218.415600
2026-05-13T18:31:02.370493+00:00,2.295300,28.055300,0.012900,0.010900,1773.557600,6.549100,1813.099800
2026-05-13T18:31:02.856639+00:00,3.137200,34.881000,0.012000,0.011000,290.707900,134.404700,467.026300
2026-05-13T18:31:03.742115+00:00,2.604700,22.413600,0.013600,0.009600,276.037500,6.344700,310.501000
2026-05-13T18:31:04.675652+00:00,2.321200,13.711700,0.008900,0.007900,189.555700,5.392700,213.573900
2026-05-13T18:31:05.709478+00:00,2.578100,12.175200,0.006400,0.005200,193.279500,4.825300,215.943000
2026-05-13T18:31:06.757579+00:00,5.679600,8.902100,0.006700,0.004300,212.435700,4.791300,234.136600
2026-05-13T18:31:07.742262+00:00,2.693700,11.138200,0.006200,0.004800,186.121600,4.612600,207.324400
2026-05-13T18:31:08.747760+00:00,2.702300,11.684300,0.006100,0.005100,164.399900,5.319600,188.134000
2026-05-13T18:31:09.927148+00:00,1.662600,22.017300,0.008700,0.009800,305.943700,5.477300,338.062900
2026-05-13T18:31:12.719275+00:00,1.891100,34.184600,0.021200,0.016700,2059.994100,7.167800,2106.183300
2026-05-13T18:31:13.143456+00:00,2.322600,29.327600,0.014500,0.013500,375.152900,6.702500,417.155600
2026-05-13T18:31:14.130752+00:00,2.477000,28.077500,0.010000,0.007100,327.249900,5.860200,368.937900
2026-05-13T18:31:15.028957+00:00,2.247300,16.410300,0.008300,0.006600,187.027600,5.275600,214.535000
2026-05-13T18:31:16.028857+00:00,1.568800,12.964000,0.006200,0.005100,179.115500,4.674200,200.734600
2026-05-13T18:31:17.047040+00:00,2.230300,11.773300,0.006800,0.005100,168.208700,4.487200,189.295200
2026-05-13T18:31:18.078672+00:00,2.529300,13.054800,0.007500,0.006200,184.872100,5.233000,208.014600
2026-05-13T18:31:19.089923+00:00,1.708500,11.896200,0.006600,0.005000,173.571100,4.750800,195.404200
2026-05-13T18:31:20.094242+00:00,3.544200,12.342600,0.007900,0.005700,165.633500,5.375700,192.537200
2026-05-13T18:31:21.245131+00:00,2.416500,30.288900,0.014600,0.013200,296.089900,6.352700,338.709700
2026-05-13T18:31:22.336678+00:00,38.452900,29.728300,0.014100,0.011900,335.286900,6.609600,413.361200
2026-05-13T18:31:23.344216+00:00,3.077200,28.035000,0.012000,0.009000,315.234600,6.504500,356.672800
2026-05-13T18:31:24.300719+00:00,2.623100,20.729000,0.010100,0.007100,267.649900,5.631700,300.667200
2026-05-13T18:31:25.290440+00:00,2.831300,18.536700,0.010100,0.007000,242.033400,5.266400,275.155100
2026-05-13T18:31:26.337195+00:00,1.739300,26.028100,0.009800,0.007800,290.236500,5.622500,327.139700
2026-05-13T18:31:27.370583+00:00,2.426400,24.795900,0.010200,0.007700,290.132100,5.812900,326.488500
2026-05-13T18:31:28.381791+00:00,2.723600,23.980900,0.009500,0.007500,269.503700,6.031700,306.059200
2026-05-13T18:31:29.373081+00:00,1.689800,16.694500,0.006700,0.005300,237.351000,4.983200,263.524700
2026-05-13T18:31:30.453230+00:00,2.692800,26.071100,0.013700,0.012300,284.811100,6.402300,345.255400
2026-05-13T18:31:31.472489+00:00,2.157100,29.785300,0.013000,0.009400,322.565700,5.932600,363.785200
2026-05-13T18:31:32.515863+00:00,2.095900,33.606000,0.015100,0.013300,347.168200,6.668900,397.065100
2026-05-13T18:31:33.542500+00:00,2.794100,33.638900,0.016300,0.013000,331.001400,7.338300,378.161200
2026-05-13T18:31:34.544512+00:00,2.134700,28.520500,0.013300,0.011700,315.081800,6.739700,355.857200
2026-05-13T18:31:35.531937+00:00,2.738700,24.679600,0.011600,0.010100,281.160900,5.364200,320.331500
2026-05-13T18:31:36.469458+00:00,2.453300,18.558300,0.008800,0.006400,184.590000,4.313300,212.228000
2026-05-13T18:31:37.461889+00:00,2.435800,12.758300,0.006800,0.007300,172.759700,4.901600,195.720400
2026-05-13T18:31:38.487166+00:00,2.239200,11.778600,0.006300,0.004800,173.644500,4.297600,194.518200
2026-05-13T18:31:39.493935+00:00,5.671700,11.054300,0.005900,0.004200,178.283400,4.679600,201.876800
2026-05-13T18:31:40.568452+00:00,1.571300,18.181500,0.009200,0.008300,220.706300,4.900600,250.307400
2026-05-13T18:31:41.695562+00:00,2.307000,32.893100,0.015900,0.017000,318.789700,6.843800,364.805200
2026-05-13T18:31:42.604317+00:00,2.530900,18.584700,0.008900,0.007700,214.420600,5.934000,244.121000
2026-05-13T18:31:43.547876+00:00,1.543000,13.428100,0.007100,0.005400,156.482200,5.100100,178.552400
2026-05-13T18:31:44.560703+00:00,2.148000,14.383700,0.009000,0.007800,162.353100,4.988700,186.514300
2026-05-13T18:31:45.575480+00:00,1.557100,11.537700,0.006900,0.004800,161.817700,4.394900,182.655400
2026-05-13T18:31:46.591044+00:00,1.543600,13.971300,0.008800,0.008000,172.105100,5.044200,196.161200
2026-05-13T18:31:47.599327+00:00,2.095100,12.317400,0.006200,0.005000,178.570600,5.508100,201.225400
2026-05-13T18:31:48.613541+00:00,2.699900,11.381500,0.006500,0.004500,172.514700,4.481600,195.300100
2026-05-13T18:31:49.637417+00:00,2.364200,12.651800,0.006500,0.007500,162.804000,5.301800,186.036400
2026-05-13T18:31:50.782380+00:00,2.109800,22.812400,0.010100,0.008500,270.773500,6.059300,313.492000
2026-05-13T18:31:51.847835+00:00,2.427400,32.691200,0.015800,0.013100,334.062600,6.751400,379.234000
2026-05-13T18:31:52.873929+00:00,2.299900,29.250800,0.012500,0.009200,314.513900,6.377500,356.156900
2026-05-13T18:31:53.721980+00:00,1.556700,13.937000,0.007500,0.005300,162.709900,5.028100,185.435500
2026-05-13T18:31:54.739411+00:00,2.453500,11.361100,0.005900,0.004700,154.416200,4.856100,175.845700
2026-05-13T18:31:55.792128+00:00,1.496300,12.591900,0.007400,0.005600,192.981900,4.575400,216.038600
2026-05-13T18:31:56.769022+00:00,1.695800,11.183000,0.006000,0.004800,160.863600,4.669700,180.720300
2026-05-13T18:31:57.801816+00:00,2.564400,11.753400,0.006700,0.004500,165.464900,4.553100,186.543600
2026-05-13T18:31:58.862826+00:00,2.218800,15.065000,0.007100,0.005500,196.654200,4.480400,223.549100
2026-05-13T18:31:59.855135+00:00,1.645800,10.337200,0.005700,0.004400,165.049100,4.820600,184.467400
