timestamp,expected,predicted,correct,notes
2026-05-13T18:32:18.603695+00:00,DISENGAGED,ATTENTION_SEEKING,False,
2026-05-13T18:32:18.822488+00:00,DISENGAGED,ATTENTION_SEEKING,False,
2026-05-13T18:32:18.963719+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T18:32:19.436249+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T18:32:19.530292+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T18:32:19.576253+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T18:32:19.738106+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T18:32:19.935323+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T18:32:20.115183+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T18:32:20.438928+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T18:32:20.484324+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:20.681918+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:20.878539+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:21.038403+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:21.512581+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:21.565250+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:21.615815+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:21.771182+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:21.986119+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:22.161928+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:22.553716+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:22.603646+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:22.702781+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T18:32:22.907707+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T19:46:21.985031+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:22.191522+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:22.345047+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:22.474454+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:22.611113+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:22.769999+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:22.949115+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:23.085632+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:23.248492+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:23.393683+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:23.548132+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:23.715644+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:23.862356+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:24.033612+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:24.195006+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:24.361498+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:24.528118+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:24.690453+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:24.869839+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:25.006494+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:25.211035+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:25.324490+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:25.486429+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:25.652199+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:25.821673+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:26.006217+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:26.150373+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:26.310632+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:26.471236+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:26.628317+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:26.826757+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:27.010691+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:27.156426+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:27.290212+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:27.487303+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:27.659662+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:27.870815+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:27.979450+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:28.160705+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:28.329378+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:28.486012+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:28.650013+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:28.833383+00:00,ENGAGED,DISENGAGED,False,
2026-05-13T19:46:28.999402+00:00,ENGAGED,DISENGAGED,False,
2026-05-13T19:46:29.176308+00:00,ENGAGED,DISENGAGED,False,
2026-05-13T19:46:29.309727+00:00,ENGAGED,DISENGAGED,False,
2026-05-13T19:46:29.463897+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:29.619698+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:29.775686+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:29.959881+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:30.147736+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:30.314928+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:30.443019+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:36.726906+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T19:46:36.900645+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T19:46:37.098847+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T19:46:37.336288+00:00,DISENGAGED,ENGAGED,False,
2026-05-13T19:46:55.039752+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:55.198755+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:55.362319+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:55.544391+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:55.735739+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:55.896099+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:56.362380+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:56.533867+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:56.712165+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:56.937235+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:46:57.192697+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:04.994626+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:05.234297+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:05.508191+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:05.807817+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:06.088412+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:06.383041+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:06.705878+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:07.018854+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:07.317858+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:07.567900+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:07.906222+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:08.236379+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:08.504381+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:08.834343+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:09.139163+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:09.443840+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:09.855487+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:10.161139+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:10.507331+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:10.861634+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:47:19.151243+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:19.421347+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:19.663188+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:20.023996+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:20.237859+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:20.626460+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:20.941559+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:21.248007+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:21.554526+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:21.871145+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:22.179106+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:22.534094+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:22.882132+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:23.212783+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:23.551418+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:23.945160+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:24.316846+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:24.639755+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:25.013682+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:47:25.363565+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T19:47:25.733848+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T19:48:08.085987+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:08.385393+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:08.724815+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:09.092868+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:09.386346+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:09.738582+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:10.107838+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:10.461821+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:10.790125+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:11.160827+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:11.489579+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:11.860282+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:12.206981+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:12.564988+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:12.874283+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:13.248122+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:13.571110+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:13.933629+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:14.305768+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:14.681685+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:14.989605+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:15.371722+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:15.698041+00:00,ENGAGED,ENGAGED,True,
2026-05-13T19:48:25.651023+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:25.921640+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:26.203162+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:26.566420+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:26.852605+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:27.151218+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:27.531587+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:27.828232+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:28.184823+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:28.481231+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:28.772776+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:29.063122+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:29.359059+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:29.732201+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:29.995875+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:30.377115+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:30.681129+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:30.949296+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:31.341768+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:31.663826+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:32.033359+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:32.376342+00:00,DISENGAGED,COOLDOWN,False,
2026-05-13T19:48:32.677726+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T19:48:33.038822+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T19:48:33.302404+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T19:48:33.619036+00:00,DISENGAGED,DISENGAGED,True,
2026-05-13T20:14:28.121036+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:28.290084+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:28.464708+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:28.606903+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:28.775972+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:29.044637+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:29.210170+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:29.350889+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:29.504618+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:29.648181+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:29.806004+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:29.968397+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:30.112008+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:30.292535+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:30.456348+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:30.629511+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:30.971044+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:31.117389+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:31.265303+00:00,ENGAGED,ENGAGED,True,,ENGAGED,ENGAGED
2026-05-13T20:14:37.931250+00:00,DISENGAGED,DISENGAGED,True,,ATTENTION_SEEKING,ATTENTION_SEEKING
2026-05-13T20:14:38.133204+00:00,DISENGAGED,DISENGAGED,True,,ATTENTION_SEEKING,ATTENTION_SEEKING
2026-05-13T20:14:38.301053+00:00,DISENGAGED,DISENGAGED,True,,ATTENTION_SEEKING,ATTENTION_SEEKING
2026-05-13T20:14:38.475095+00:00,DISENGAGED,DISENGAGED,True,,ATTENTION_SEEKING,ATTENTION_SEEKING
2026-05-13T20:14:38.631816+00:00,DISENGAGED,DISENGAGED,True,,ATTENTION_SEEKING,ATTENTION_SEEKING
2026-05-13T20:14:38.788973+00:00,DISENGAGED,DISENGAGED,True,,ATTENTION_SEEKING,ATTENTION_SEEKING
2026-05-13T20:14:38.945695+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:39.110298+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:39.291431+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:39.464373+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:39.780875+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:40.134642+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:40.467618+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:40.807123+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:40.991601+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:41.113012+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:41.329676+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:41.490412+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:41.827517+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:42.034883+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:42.214104+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:42.390088+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:42.549044+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:45.524947+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:45.716777+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:45.916724+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:46.072675+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:46.238529+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:46.452664+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:46.635912+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:46.794896+00:00,DISENGAGED,DISENGAGED,True,,COOLDOWN,COOLDOWN
2026-05-13T20:14:46.949564+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:47.181659+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:47.341653+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:47.519979+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:47.716768+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:47.866065+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:48.037747+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:48.241548+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:48.395397+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:48.557690+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:48.753126+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:48.929424+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:49.102530+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:49.297934+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:49.453246+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:49.647211+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:49.869407+00:00,DISENGAGED,DISENGAGED,True,,DISENGAGED,DISENGAGED
2026-05-13T20:14:50.029401+00:00,DISENGAGED,ENGAGED,False,,ENGAGED,ENGAGED
2026-05-13T20:14:50.242403+00:00,DISENGAGED,ENGAGED,False,,ENGAGED,ENGAGED
2026-05-13T20:14:50.425937+00:00,DISENGAGED,ENGAGED,False,,ENGAGED,ENGAGED
2026-05-13T20:14:50.622715+00:00,DISENGAGED,ENGAGED,False,,ENGAGED,ENGAGED
